date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:05:52	24911/24911	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:21%20GMT	https://templates.envytheme.com/depan/rtl/news-details-1.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/news-details-1.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:53	25034/25034	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:22%20GMT	https://templates.envytheme.com/depan/rtl/news-details-2.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/news-details-2.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:53	19684/19684	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:22%20GMT	https://templates.envytheme.com/depan/rtl/news-details-3.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/news-details-3.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:54	27821/27821	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:19%20GMT	https://templates.envytheme.com/depan/rtl/author.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/author.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:55	15942/15942	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:19%20GMT	https://templates.envytheme.com/depan/rtl/about-us.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/about-us.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:55	14727/14727	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:23%20GMT	https://templates.envytheme.com/depan/rtl/our-team.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/our-team.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:56	25977/25977	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:20%20GMT	https://templates.envytheme.com/depan/rtl/fashion.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/fashion.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:57	23660/23660	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:20%20GMT	https://templates.envytheme.com/depan/rtl/entertainment.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/entertainment.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:58	26713/26713	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:21%20GMT	https://templates.envytheme.com/depan/rtl/lifestyle.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/lifestyle.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:58	26078/26078	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:21%20GMT	https://templates.envytheme.com/depan/rtl/international.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/international.html	(from https://templates.envytheme.com/depan/rtl/index.html)
